2025-11-24 14:57:00,644 - INFO - [MACS-MOF] Training start (EPOCHS=1500)
2025-11-24 14:57:00,644 - INFO - 
================================================================================
2025-11-24 14:57:00,645 - INFO - [EP 0] START
2025-11-24 14:57:00,645 - INFO - [EP 0] max_steps = 300
2025-11-24 14:57:01,255 - INFO - [EP 0] CIF loaded: mofs/train_pool_valid/qmof-1940038.cif
2025-11-24 14:57:01,255 - INFO - [INIT] OBS_DIM=360, ACT_DIM=3 (per-atom)
2025-11-24 14:57:01,262 - INFO - [INIT] Agent + ReplayBuffer allocated (per-atom).
2025-11-24 14:57:08,150 - INFO - [EP 0][STEP 34] N=110 | Favg=0.849171 Fmax=3.064438 rew_mean=0.134345 | replay=3,427 | alpha=1.00000
2025-11-24 14:57:08,288 - INFO - [EP 0][STEP 35] N=110 | Favg=0.876703 Fmax=3.174595 rew_mean=-0.347422 | replay=3,527 | alpha=1.00000
2025-11-24 14:57:08,426 - INFO - [EP 0][STEP 36] N=110 | Favg=0.874977 Fmax=3.071238 rew_mean=0.060085 | replay=3,615 | alpha=1.00000
2025-11-24 14:57:08,567 - INFO - [EP 0][STEP 37] N=110 | Favg=0.914726 Fmax=3.612210 rew_mean=-0.597265 | replay=3,700 | alpha=1.00000
2025-11-24 14:57:08,706 - INFO - [EP 0][STEP 38] N=110 | Favg=0.927399 Fmax=3.432095 rew_mean=-0.375197 | replay=3,792 | alpha=1.00000
2025-11-24 14:57:08,845 - INFO - [EP 0][STEP 39] N=110 | Favg=0.910176 Fmax=3.407807 rew_mean=0.278803 | replay=3,892 | alpha=1.00000
2025-11-24 14:57:08,983 - INFO - [EP 0][STEP 40] N=110 | Favg=0.931887 Fmax=3.245395 rew_mean=-0.512788 | replay=3,987 | alpha=1.00000
2025-11-24 14:57:09,122 - INFO - [EP 0][STEP 41] N=110 | Favg=0.955164 Fmax=3.405295 rew_mean=-0.133490 | replay=4,078 | alpha=1.00000
2025-11-24 14:57:09,259 - INFO - [EP 0][STEP 42] N=110 | Favg=0.941063 Fmax=3.084447 rew_mean=0.235231 | replay=4,172 | alpha=1.00000
2025-11-24 14:57:09,397 - INFO - [EP 0][STEP 43] N=110 | Favg=0.923711 Fmax=3.376309 rew_mean=0.102524 | replay=4,270 | alpha=1.00000
2025-11-24 14:57:09,535 - INFO - [EP 0][STEP 44] N=110 | Favg=0.925215 Fmax=3.270946 rew_mean=-0.063646 | replay=4,355 | alpha=1.00000
2025-11-24 14:57:09,673 - INFO - [EP 0][STEP 45] N=110 | Favg=0.942056 Fmax=3.085871 rew_mean=-0.326862 | replay=4,448 | alpha=1.00000
2025-11-24 14:57:09,810 - INFO - [EP 0][STEP 46] N=110 | Favg=0.936837 Fmax=2.879827 rew_mean=0.086000 | replay=4,536 | alpha=1.00000
2025-11-24 14:57:09,948 - INFO - [EP 0][STEP 47] N=110 | Favg=0.929468 Fmax=3.086407 rew_mean=-0.102211 | replay=4,634 | alpha=1.00000
2025-11-24 14:57:10,086 - INFO - [EP 0][STEP 48] N=110 | Favg=0.933902 Fmax=3.143070 rew_mean=0.070619 | replay=4,731 | alpha=1.00000
2025-11-24 14:57:10,226 - INFO - [EP 0][STEP 49] N=110 | Favg=0.949176 Fmax=2.954651 rew_mean=0.039365 | replay=4,817 | alpha=1.00000
2025-11-24 14:57:10,364 - INFO - [EP 0][STEP 50] N=110 | Favg=0.959039 Fmax=3.175927 rew_mean=-0.104464 | replay=4,912 | alpha=1.00000
2025-11-24 14:57:10,502 - INFO - [EP 0][STEP 51] N=110 | Favg=1.000878 Fmax=3.293177 rew_mean=-0.178785 | replay=5,011 | alpha=1.00000
2025-11-24 14:57:10,639 - INFO - [EP 0][STEP 52] N=110 | Favg=1.030198 Fmax=3.522934 rew_mean=-0.195636 | replay=5,106 | alpha=1.00000
2025-11-24 14:57:10,776 - INFO - [EP 0][STEP 53] N=110 | Favg=1.040573 Fmax=3.590326 rew_mean=-0.221276 | replay=5,202 | alpha=1.00000
2025-11-24 14:57:10,914 - INFO - [EP 0][STEP 54] N=110 | Favg=1.069038 Fmax=3.642278 rew_mean=-0.308371 | replay=5,302 | alpha=1.00000
2025-11-24 14:57:11,052 - INFO - [EP 0][STEP 55] N=110 | Favg=1.044446 Fmax=3.664976 rew_mean=0.234414 | replay=5,399 | alpha=1.00000
2025-11-24 14:57:11,189 - INFO - [EP 0][STEP 56] N=110 | Favg=1.053335 Fmax=3.783351 rew_mean=-0.030551 | replay=5,488 | alpha=1.00000
2025-11-24 14:57:11,327 - INFO - [EP 0][STEP 57] N=110 | Favg=1.045481 Fmax=3.493718 rew_mean=-0.204967 | replay=5,577 | alpha=1.00000
2025-11-24 14:57:11,464 - INFO - [EP 0][STEP 58] N=110 | Favg=1.040627 Fmax=3.304015 rew_mean=0.117923 | replay=5,667 | alpha=1.00000
2025-11-24 14:57:11,602 - INFO - [EP 0][STEP 59] N=110 | Favg=1.058823 Fmax=3.495343 rew_mean=-0.173801 | replay=5,759 | alpha=1.00000
2025-11-24 14:57:11,739 - INFO - [EP 0][STEP 60] N=110 | Favg=1.069469 Fmax=3.396330 rew_mean=-0.007155 | replay=5,852 | alpha=1.00000
2025-11-24 14:57:11,877 - INFO - [EP 0][STEP 61] N=110 | Favg=1.120128 Fmax=3.418783 rew_mean=-0.610610 | replay=5,946 | alpha=1.00000
2025-11-24 14:57:12,014 - INFO - [EP 0][STEP 62] N=110 | Favg=1.111842 Fmax=3.370375 rew_mean=-0.122629 | replay=6,037 | alpha=1.00000
2025-11-24 14:57:12,151 - INFO - [EP 0][STEP 63] N=110 | Favg=1.114123 Fmax=3.586781 rew_mean=-0.001219 | replay=6,128 | alpha=1.00000
2025-11-24 14:57:12,288 - INFO - [EP 0][STEP 64] N=110 | Favg=1.120909 Fmax=3.497175 rew_mean=-0.004674 | replay=6,218 | alpha=1.00000
2025-11-24 14:57:12,425 - INFO - [EP 0][STEP 65] N=110 | Favg=1.126914 Fmax=3.540020 rew_mean=-0.076788 | replay=6,314 | alpha=1.00000
2025-11-24 14:57:12,563 - INFO - [EP 0][STEP 66] N=110 | Favg=1.176875 Fmax=3.753677 rew_mean=-0.468963 | replay=6,404 | alpha=1.00000
2025-11-24 14:57:12,701 - INFO - [EP 0][STEP 67] N=110 | Favg=1.187956 Fmax=3.733516 rew_mean=-0.208542 | replay=6,497 | alpha=1.00000
2025-11-24 14:57:12,838 - INFO - [EP 0][STEP 68] N=110 | Favg=1.184347 Fmax=3.787507 rew_mean=0.038717 | replay=6,591 | alpha=1.00000
2025-11-24 14:57:12,975 - INFO - [EP 0][STEP 69] N=110 | Favg=1.148190 Fmax=3.874458 rew_mean=0.523924 | replay=6,682 | alpha=1.00000
2025-11-24 14:57:13,112 - INFO - [EP 0][STEP 70] N=110 | Favg=1.145888 Fmax=3.824779 rew_mean=0.082846 | replay=6,774 | alpha=1.00000
