episode,step,return
0,299,-1.464092
1,300,-1.671971
2,301,-1.227559
3,303,-1.452889
4,304,-1.15138
5,306,-1.563131
6,307,-1.596657
7,308,-1.759479
8,310,-1.512386
9,311,-1.425377
10,313,-1.472486
11,314,-1.469254
12,315,-1.589031
13,317,-1.258313
14,318,-1.537506
15,320,-1.368416
16,321,-1.216704
17,322,-1.586538
18,324,-1.619172
19,325,-1.434018
20,327,-1.246611
21,328,-1.74629
22,329,-2.011473
23,331,-1.42792
24,332,-1.368846
25,334,-1.281052
26,335,-1.222679
27,336,-1.496769
28,338,-1.087155
29,339,-1.56116
30,341,-1.623806
31,342,-1.317234
32,343,-1.898955
33,345,-1.857245
34,346,-1.597086
35,348,-1.536424
36,349,-1.457109
37,350,-1.530961
38,352,-1.462798
39,353,-1.250286
40,355,-1.576059
41,356,-1.39937
42,357,-1.909903
43,359,-2.081918
44,360,-1.504191
45,362,-1.498592
46,363,-1.430589
47,364,-1.718194
48,366,-1.581706
49,367,-1.560632
50,369,-1.681779
51,370,-1.086241
52,371,-1.941139
53,373,-1.064287
54,374,-1.648229
55,376,-2.035961
56,377,-1.361719
57,378,-1.313275
58,380,-1.438719
59,381,-1.531896
60,383,-1.300907
61,384,-1.850331
62,385,-1.780615
63,387,-1.545969
64,388,-1.72761
65,390,-1.799587
66,391,-1.747055
67,392,-2.044241
68,394,-1.593439
69,395,-1.396917
70,0,-0.708189
71,398,-1.420784
72,399,-1.526109
73,401,-1.798415
74,402,-1.53736
75,404,-1.834412
76,405,-1.444921
77,406,-1.621349
78,408,-1.652833
79,409,-2.228691
80,411,-1.434924
81,412,-1.570523
82,413,-1.601969
83,415,-1.668068
84,416,-1.892121
85,418,-1.766182
86,419,-1.769906
87,420,-1.649438
88,422,-1.626999
89,423,-1.647755
90,425,-1.672491
91,426,-1.570549
92,427,-1.795778
93,429,-1.398519
94,430,-1.670812
95,432,-1.807826
96,433,-1.951441
97,434,-1.767116
98,436,-1.90469
99,437,-1.43489
100,439,-1.764357
101,440,-1.556062
102,441,-1.472132
103,443,-2.644461
104,444,-1.822887
105,446,-1.515704
106,447,-1.964609
107,448,-1.363978
108,450,-1.637907
109,451,-1.662918
110,453,-2.099024
111,454,-1.438559
112,455,-1.649209
113,457,-1.326589
114,458,-1.658189
115,460,-1.695014
116,461,-1.642905
117,462,-1.502729
118,464,-1.575663
119,465,-1.312312
120,467,-1.428673
121,468,-1.824898
122,469,-1.329584
123,471,-2.132723
124,472,-1.554915
125,474,-1.586336
126,475,-1.576952
127,476,-1.401388
128,478,-1.458272
129,479,-1.649725
130,481,-1.48449
131,482,-1.365442
132,483,-2.593479
133,485,-1.541527
134,486,-1.8539
135,488,-1.568843
136,489,-1.641914
137,490,-1.578126
138,492,-1.662937
139,493,-1.708262
140,495,-1.607675
141,496,-1.270787
142,497,-2.058713
143,499,-1.901198
144,500,-1.590569
145,502,-1.886401
146,503,-1.322421
147,504,-1.503527
148,506,-2.378546
149,507,-1.396786
150,509,-1.652584
151,510,-1.485404
152,511,-1.674349
153,513,-2.084516
154,514,-2.014547
155,516,-1.912016
156,517,-1.946355
157,518,-2.555049
158,520,-1.855238
159,521,-2.339455
160,523,-1.616352
161,524,-1.657674
162,525,-2.054317
163,527,-1.753321
164,528,-1.430248
165,530,-2.171041
166,531,-1.522955
167,532,-1.617809
168,534,-1.918097
169,535,-3.237996
170,537,-1.41598
171,538,-1.474236
172,539,-1.820632
173,541,-1.277001
174,542,-1.458673
175,544,-1.41396
176,545,-1.814621
177,546,-1.500835
178,548,-1.564976
179,549,-1.406805
180,551,-3.149704
181,552,-1.755287
182,553,-1.781438
183,555,-1.668065
184,556,-1.709863
185,558,-1.642176
186,559,-1.985012
187,560,-2.684629
188,562,-1.661804
189,563,-1.847711
190,565,-1.654226
191,566,-2.311654
192,567,-2.354576
193,569,-1.631765
194,570,-1.749972
195,572,-1.820152
196,573,-2.060288
197,574,-1.632778
198,576,-1.586809
199,577,-1.700668
200,579,-1.831123
201,580,-1.964033
202,581,-1.656481
203,583,-2.289857
204,584,-2.025885
205,586,-2.106614
206,587,-3.045517
207,588,-1.812315
208,590,-2.504381
209,591,-1.496154
210,593,-2.549537
211,594,-1.724066
212,595,-3.170854
213,597,-1.817262
214,598,-1.525575
215,600,-1.611371
216,601,-2.047639
217,602,-4.791219
218,604,-1.715938
219,605,-1.630939
220,607,-5.371346
221,608,-1.878169
222,609,-1.979515
