2025-11-24 20:58:50,858 - INFO - [MACS-MOF] Training start (EPOCHS=1500)
2025-11-24 20:58:50,858 - INFO - 
================================================================================
2025-11-24 20:58:50,858 - INFO - [EP 0] START
2025-11-24 20:58:50,858 - INFO - [EP 0] max_steps = 300
2025-11-24 20:58:51,401 - INFO - [EP 0] CIF loaded: mofs/train_pool_valid/qmof-c95d01f.cif
2025-11-24 20:58:51,401 - INFO - [INIT] OBS_DIM=360, ACT_DIM=3 (per-atom)
2025-11-24 20:58:51,436 - INFO - [INIT] Agent + ReplayBuffer allocated (per-atom).
2025-11-24 20:58:56,955 - INFO - [EP 0][STEP 33] N=76 | Favg=0.786569 Fmax=2.547429 rew_mean=-0.312330 | ep_buf=2,584 | alpha=1.00000
2025-11-24 20:58:57,056 - INFO - [EP 0][STEP 34] N=76 | Favg=0.789926 Fmax=2.424322 rew_mean=-0.192774 | ep_buf=2,660 | alpha=1.00000
2025-11-24 20:58:57,158 - INFO - [EP 0][STEP 35] N=76 | Favg=0.789017 Fmax=2.555317 rew_mean=0.152066 | ep_buf=2,736 | alpha=1.00000
2025-11-24 20:58:57,259 - INFO - [EP 0][STEP 36] N=76 | Favg=0.793070 Fmax=2.714113 rew_mean=0.000801 | ep_buf=2,812 | alpha=1.00000
2025-11-24 20:58:57,360 - INFO - [EP 0][STEP 37] N=76 | Favg=0.792940 Fmax=2.698740 rew_mean=-0.009248 | ep_buf=2,888 | alpha=1.00000
2025-11-24 20:58:57,462 - INFO - [EP 0][STEP 38] N=76 | Favg=0.799818 Fmax=2.860084 rew_mean=-0.187397 | ep_buf=2,964 | alpha=1.00000
2025-11-24 20:58:57,563 - INFO - [EP 0][STEP 39] N=76 | Favg=0.790156 Fmax=2.665429 rew_mean=0.201708 | ep_buf=3,040 | alpha=1.00000
2025-11-24 20:58:57,665 - INFO - [EP 0][STEP 40] N=76 | Favg=0.793124 Fmax=2.839458 rew_mean=0.156197 | ep_buf=3,116 | alpha=1.00000
2025-11-24 20:58:57,767 - INFO - [EP 0][STEP 41] N=76 | Favg=0.828231 Fmax=3.179556 rew_mean=-0.308581 | ep_buf=3,192 | alpha=1.00000
2025-11-24 20:58:57,868 - INFO - [EP 0][STEP 42] N=76 | Favg=0.863123 Fmax=3.208736 rew_mean=-0.471907 | ep_buf=3,268 | alpha=1.00000
2025-11-24 20:58:57,969 - INFO - [EP 0][STEP 43] N=76 | Favg=0.888227 Fmax=3.465892 rew_mean=-0.140335 | ep_buf=3,344 | alpha=1.00000
2025-11-24 20:58:58,071 - INFO - [EP 0][STEP 44] N=76 | Favg=0.890302 Fmax=3.694022 rew_mean=-0.053357 | ep_buf=3,420 | alpha=1.00000
2025-11-24 20:58:58,173 - INFO - [EP 0][STEP 45] N=76 | Favg=0.895456 Fmax=3.401869 rew_mean=-0.269688 | ep_buf=3,496 | alpha=1.00000
2025-11-24 20:58:58,274 - INFO - [EP 0][STEP 46] N=76 | Favg=0.894734 Fmax=3.284943 rew_mean=-0.051949 | ep_buf=3,572 | alpha=1.00000
2025-11-24 20:58:58,376 - INFO - [EP 0][STEP 47] N=76 | Favg=0.895214 Fmax=3.233704 rew_mean=-0.112550 | ep_buf=3,648 | alpha=1.00000
2025-11-24 20:58:58,477 - INFO - [EP 0][STEP 48] N=76 | Favg=0.929376 Fmax=3.351294 rew_mean=-0.349265 | ep_buf=3,724 | alpha=1.00000
2025-11-24 20:58:58,579 - INFO - [EP 0][STEP 49] N=76 | Favg=0.957491 Fmax=3.617435 rew_mean=-0.221012 | ep_buf=3,800 | alpha=1.00000
2025-11-24 20:58:58,680 - INFO - [EP 0][STEP 50] N=76 | Favg=0.952257 Fmax=3.658906 rew_mean=0.051105 | ep_buf=3,876 | alpha=1.00000
