episode,step,return
0,299,30.419947
1,300,27.960039
2,301,37.521521
3,303,30.624711
4,304,25.714129
5,306,32.449152
6,307,42.13342
7,308,30.089227
8,310,38.549252
9,311,30.063191
10,313,32.119666
11,314,32.866987
12,315,38.213914
13,317,26.262559
14,318,35.927231
15,320,32.391781
16,321,34.660197
17,322,38.075406
18,324,37.596041
19,325,32.949385
20,327,32.089676
21,328,35.651773
22,329,30.948885
23,331,32.636727
24,332,35.162469
25,334,27.464693
26,335,34.880911
27,336,35.009784
28,338,30.659091
29,339,42.864854
30,179,37.956942
31,342,35.383926
32,343,34.989746
33,345,33.535813
34,89,33.456682
35,348,30.420643
36,349,38.741237
37,350,26.823326
38,352,31.767168
39,353,32.429763
40,355,26.588031
41,126,32.964061
42,357,37.031036
43,359,34.921372
44,360,-57.42126
45,362,33.723316
46,54,40.647924
47,364,30.370442
48,366,33.46596
49,367,27.00779
50,369,32.461203
51,370,31.574457
52,371,35.152263
53,373,29.288685
54,374,30.312208
55,94,36.608294
56,110,34.582864
57,378,31.073934
58,380,31.558148
59,381,31.968504
60,383,38.890165
61,384,30.107807
62,385,33.572025
63,387,31.65683
64,388,32.590477
65,390,28.6002
66,391,28.748429
67,392,33.778744
68,138,39.741879
69,198,36.418577
70,397,33.946932
71,398,35.613167
72,212,41.754028
73,401,29.076931
74,402,32.552593
75,404,37.343133
76,74,35.317022
77,394,40.540813
78,408,35.277211
79,65,35.047335
80,322,41.152443
81,412,33.324903
82,413,37.347399
83,326,33.508888
84,416,36.925139
162,395,36.818111
163,527,36.765254
164,528,31.0841
165,530,26.893185
166,531,32.444301
167,474,38.959694
168,249,43.080383
169,167,38.439107
170,537,-284.349591
171,43,32.806224
172,344,31.387967
173,155,39.843124
174,531,39.218718
175,544,-72.601039
176,545,34.678147
177,72,43.55207
178,548,-31.215193
179,549,31.843855
180,551,38.783313
181,552,34.71992
182,553,38.326174
183,555,31.729405
184,556,36.277864
185,558,33.331865
186,559,37.747315
187,431,37.109791
188,562,-1.820549
189,563,32.238886
190,565,34.831428
191,299,37.445196
192,567,40.464519
193,569,40.044213
194,570,27.281437
195,136,36.689713
196,573,-44.373649
197,574,30.149951
198,85,31.748398
199,577,30.595019
200,119,30.675736
201,580,33.55603
202,212,35.855293
203,404,32.636313
204,584,33.203826
205,586,31.200429
206,587,-1090.685524
207,588,38.364982
208,590,39.452642
209,591,26.487066
