episode,step,return
354,37,42.004418
355,77,41.919686
356,44,45.861707
357,39,42.019716
358,45,45.760566
359,37,42.5867
360,42,46.33222
361,38,43.818221
362,37,43.451575
363,30,39.953057
364,33,41.056676
365,29,41.257321
366,42,42.490318
367,28,43.261096
368,33,42.690419
369,35,42.871142
370,30,44.983465
371,44,46.229099
372,46,44.08455
373,33,45.399034
374,42,42.281044
375,36,44.487832
376,36,44.310104
377,39,41.233933
378,88,41.247816
379,38,44.988147
380,527,-9.631343
381,32,44.721774
382,33,43.052575
383,34,42.391467
384,39,46.038157
385,36,42.861244
386,31,43.212199
387,40,44.191531
388,32,43.941732
389,33,44.18709
390,39,44.15222
391,35,43.473813
392,37,46.179247
393,44,45.239722
394,40,42.363817
395,34,42.563861
396,38,44.059977
397,33,44.630659
398,37,42.965162
399,40,43.725693
400,43,45.846546
401,36,43.355173
402,40,45.239664
403,38,42.739588
404,31,43.539599
405,32,44.587047
406,43,41.668466
407,39,44.27904
408,44,44.535268
409,48,47.685767
410,37,45.217141
411,34,44.515687
412,40,44.234087
413,36,45.826347
414,38,44.525122
415,39,45.35029
416,42,45.64434
417,47,45.66457
418,48,45.601247
419,40,43.237867
420,39,45.503076
421,42,44.636724
422,44,44.442172
423,34,45.633257
424,44,44.330576
425,40,43.307354
426,37,44.431282
427,38,44.030502
428,40,41.056617
429,43,45.312812
430,39,44.141029
431,39,44.252423
432,39,44.661237
433,41,44.313376
434,40,45.359703
435,36,42.413237
436,50,45.696948
437,40,46.571973
438,35,45.309208
439,41,44.678301
440,46,45.554042
441,39,45.692589
442,42,42.901883
443,34,43.523244
444,45,39.89715
445,45,42.975769
446,45,47.352355
447,38,43.333558
448,32,43.893295
449,38,42.07995
450,41,39.837424
451,41,43.88427
452,34,45.849649
453,41,44.543855
454,43,44.183591
455,45,45.510167
456,38,44.3338
457,37,45.091977
458,43,45.084972
459,43,46.070159
460,54,44.773942
461,42,45.69431
462,42,44.662707
463,41,47.68621
464,40,45.074576
465,40,45.604899
466,90,36.470284
467,43,46.957562
468,42,43.341122
469,36,46.094197
470,40,47.478333
471,36,45.23201
472,38,44.51317
473,39,43.298926
474,46,43.773872
475,45,45.022092
476,92,43.541028
477,40,45.675427
478,40,43.228709
479,40,42.795065
480,38,40.623748
481,52,45.034498
482,41,44.852593
483,41,40.665634
484,41,47.346823
485,50,45.232829
486,41,43.558119
487,50,44.549832
488,51,46.816168
489,44,45.135635
490,43,44.968413
491,45,47.726148
492,41,44.762276
493,41,44.486161
494,48,44.535539
495,46,44.291455
496,41,42.742541
497,45,41.613511
498,47,44.100834
499,46,45.320786
500,45,45.418681
501,39,44.375223
502,45,45.953764
503,42,44.708631
504,58,43.739685
505,42,44.712015
506,66,42.175858
507,44,40.436977
508,40,44.299086
509,46,45.229656
510,42,45.903918
511,47,44.125062
512,43,46.596612
513,46,44.634176
514,43,43.980851
515,50,44.698478
516,55,43.904723
517,52,45.790816
518,112,41.869986
519,40,44.903144
520,48,43.016201
521,50,44.003845
522,43,44.6184
523,67,41.266717
524,51,41.83203
525,45,44.657008
526,50,45.487708
527,47,45.087481
528,46,45.509794
529,44,45.216898
530,48,44.28382
531,51,42.48163
532,52,43.662052
533,44,44.859372
534,51,46.48072
535,59,42.311135
536,50,44.41866
537,69,45.046495
538,48,44.232869
539,48,44.838758
540,51,44.377209
541,48,43.230182
542,62,45.092647
543,54,43.633321
544,55,46.279771
545,56,44.750455
546,49,45.612441
547,57,45.100235
548,44,45.675735
549,61,47.042021
550,48,44.362832
551,46,43.806933
552,47,44.621439
553,46,43.307199
554,43,46.485415
555,48,44.975099
556,57,47.185849
557,53,45.328646
558,44,45.407082
559,48,45.319314
560,52,46.160773
561,52,45.501699
562,49,45.741872
563,48,45.051972
564,46,45.052481
565,45,46.381256
566,45,44.979461
567,48,44.015832
568,50,47.045828
569,51,44.700338
570,46,43.186008
571,45,44.379916
572,46,45.760211
573,51,45.697532
574,46,44.35337
575,45,42.611186
576,56,44.259239
577,65,45.816778
578,53,42.584564
579,62,45.204458
580,48,46.328832
581,63,44.347601
582,56,45.698583
583,92,45.200812
584,46,41.33438
585,47,43.545719
586,47,46.231952
587,51,41.427711
588,56,47.067193
589,48,45.929772
590,51,44.261033
591,46,45.862419
592,62,44.738277
593,56,45.143751
594,56,44.631962
595,52,43.90064
596,49,45.074861
597,70,47.370722
598,53,45.331762
599,51,46.802507
600,49,46.503523
601,47,46.273026
602,55,45.644836
603,51,45.383849
604,54,45.878605
605,51,44.203474
606,54,44.973756
607,46,43.48189
608,55,45.22967
609,52,43.957908
610,59,46.072794
611,56,46.846752
612,57,47.592262
613,60,46.260692
614,42,43.709193
615,51,43.627189
616,61,45.241642
617,122,39.121946
618,50,43.178715
619,47,44.446716
620,56,46.429178
621,50,45.298251
622,63,39.217102
623,60,45.780788
624,52,47.751277
625,55,46.666577
626,57,46.805552
627,70,45.780775
628,61,44.512459
629,53,45.308861
630,45,45.937432
631,69,43.100609
632,52,45.296175
633,51,45.847679
634,54,46.997378
635,55,45.550582
636,62,44.662534
637,63,43.534126
638,57,45.197741
639,81,44.918026
640,54,46.76789
641,58,45.885421
642,60,46.39549
643,49,44.141687
644,54,45.326069
645,58,46.815892
646,182,37.218313
647,64,46.423848
648,60,45.515963
649,62,44.668917
650,51,41.476745
651,49,44.115835
652,58,45.296511
653,63,44.643223
654,58,46.912325
655,71,43.898155
656,60,45.72556
657,66,44.386365
658,64,47.296991
659,67,45.886567
660,56,45.011031
661,58,43.788652
662,61,44.249851
663,56,43.659968
664,59,43.172876
665,73,43.269877
666,55,42.068334
667,57,44.87322
668,61,45.566175
669,61,43.09788
670,70,46.145528
671,58,45.833922
672,51,45.306483
673,74,43.733867
674,91,45.038716
675,55,45.532458
676,61,45.159978
677,57,44.837221
678,65,43.881566
679,69,44.165128
680,55,46.403325
681,358,27.631338
682,66,43.869801
683,69,46.973813
684,52,44.945116
685,55,44.285504
686,49,44.334788
687,64,44.654056
688,60,44.901559
689,64,46.02078
690,65,44.82388
691,59,44.966643
692,53,44.703172
693,53,43.819525
694,55,45.365904
695,62,48.013836
696,59,47.001367
697,54,44.05432
698,60,45.388008
699,63,45.439501
700,59,42.904256
701,50,45.778442
702,71,44.00453
703,56,44.964139
704,55,46.636193
705,62,43.591919
706,82,45.493456
707,55,41.679716
708,57,47.197701
709,58,44.554841
710,60,46.168518
711,69,43.0163
712,59,46.370283
713,62,44.631128
714,67,40.343775
715,68,43.651196
716,55,45.514415
717,63,45.36811
718,61,46.654275
719,71,46.608773
720,101,42.854689
721,59,42.400188
722,59,44.901756
723,55,45.359186
724,71,45.507163
725,51,43.798149
726,63,44.616141
727,67,44.354363
728,57,44.319213
729,62,44.340077
730,73,43.490117
731,55,46.639111
732,68,45.103872
733,63,42.948676
734,87,43.310877
735,60,45.727624
736,65,45.255836
737,66,43.458719
738,63,45.235588
739,72,44.029661
740,72,46.237231
741,77,42.387136
742,55,46.141671
743,79,43.748719
744,61,46.158221
745,54,44.566362
746,62,46.195217
747,76,44.272596
748,64,41.41877
749,54,42.410721
750,84,45.165454
751,59,44.896503
752,64,46.368264
753,60,44.85078
754,51,43.002371
755,65,40.825546
756,96,46.042171
757,61,45.001385
758,61,47.033015
759,299,31.186631
760,63,44.197856
761,62,45.860689
762,59,45.102118
763,58,44.769144
764,58,45.126482
765,71,45.155934
766,71,47.21826
767,76,43.92869
768,65,45.275492
769,65,44.816858
770,73,44.849749
771,59,43.766599
772,73,46.185845
773,59,47.661115
774,60,47.819656
775,57,46.183254
776,58,45.5483
777,73,42.335813
778,143,42.486554
779,72,41.391281
780,65,46.591303
781,63,44.006551
782,68,45.897575
783,58,45.554403
784,66,47.331631
785,66,44.779369
786,72,45.865787
787,66,43.853271
788,66,46.623789
789,69,45.348967
790,62,45.441831
791,55,43.853666
792,72,44.458852
793,67,44.712432
794,73,43.137128
795,72,45.051579
796,68,45.839902
797,67,41.768327
798,59,44.514857
799,67,45.687313
800,65,47.364028
801,66,44.399604
802,59,44.076911
803,66,44.547969
804,74,42.80373
805,60,45.861099
806,73,47.408131
807,74,44.678517
808,85,41.56243
809,61,46.65551
810,71,45.102146
811,74,44.637262
812,89,45.475158
813,68,45.577978
814,68,42.174962
815,70,46.590259
816,63,44.005182
817,69,46.719861
818,72,45.284734
819,92,41.638056
820,73,45.392832
821,64,45.176112
822,79,44.144486
823,66,44.52468
824,70,45.790719
825,64,48.284132
826,51,43.069534
827,71,47.744908
828,67,46.341225
829,65,45.300642
830,66,47.787101
831,59,45.855642
832,67,43.144536
833,70,46.779527
834,65,45.892267
835,65,43.783963
836,63,42.479795
837,60,46.742667
838,70,46.001578
839,67,45.406595
840,59,46.154183
