episode,step,return
352,67,37.109802
353,49,38.540282
354,89,43.197255
355,74,40.619701
356,56,42.230128
357,94,41.140604
358,58,39.623161
359,51,40.944201
360,161,43.080795
361,75,36.840592
362,83,39.746837
363,51,40.91657
364,50,39.432284
365,66,42.547865
366,57,41.510236
367,64,41.225064
368,56,41.186756
369,62,42.450177
370,55,41.897116
371,48,41.398322
372,67,40.674486
373,53,38.454441
374,92,40.632882
375,54,41.022235
376,65,35.818465
377,54,41.035307
378,75,43.065083
379,55,40.93372
380,82,42.14566
381,54,41.590112
382,54,40.227553
383,65,35.776137
384,82,39.045892
385,109,40.320759
386,60,42.279343
387,59,38.158767
388,54,39.994513
389,57,42.15579
390,96,43.618517
391,146,44.759457
392,60,43.872396
393,52,41.121905
394,51,41.006021
395,57,42.420984
396,53,43.035835
397,57,40.63059
398,80,40.543806
399,67,41.373513
400,70,42.427277
401,59,40.186624
402,54,42.456222
403,67,43.462174
404,74,39.290466
405,89,42.700419
406,63,42.464193
407,54,39.49854
408,90,41.727906
409,65,43.592502
410,65,41.812387
411,54,42.38018
412,69,39.405958
413,56,39.83265
414,63,40.193672
415,128,42.263682
416,60,42.033163
417,55,41.653645
418,53,41.510518
419,885,38.058638
420,57,41.957597
421,66,41.406622
422,74,41.231478
423,96,40.342658
424,58,40.863136
425,68,44.044684
426,76,43.014024
427,51,42.205045
428,50,40.749921
429,80,43.582101
430,65,41.402688
431,57,40.541947
432,61,42.03434
433,905,39.426632
434,60,42.571319
435,66,41.170911
436,93,44.900023
437,237,43.80639
438,55,42.107964
439,71,43.418888
440,66,44.439278
441,77,42.964444
442,71,42.30741
443,68,41.655163
444,43,38.734069
445,59,41.670638
446,55,42.15637
447,58,44.39736
448,59,38.365704
449,65,42.471004
450,929,33.062235
451,84,41.908622
452,61,42.583675
453,57,41.728195
454,59,40.373454
455,56,41.480822
456,61,42.362006
457,58,43.098701
458,57,43.475441
459,64,42.684159
460,58,40.769338
461,70,39.641381
462,64,42.304893
463,156,41.254888
464,66,42.78328
465,59,42.111039
466,56,40.320416
467,61,41.272292
468,71,43.683515
469,68,43.005286
470,69,42.383128
471,65,44.623839
472,213,43.130767
473,68,42.595998
474,61,39.984886
475,79,43.874371
476,82,43.598897
477,68,44.794579
478,57,43.258223
479,83,43.707129
480,139,45.992969
481,68,43.339688
482,61,41.911584
483,86,36.828492
484,61,43.069242
485,110,40.998985
486,64,41.988403
487,70,43.265641
488,69,40.33087
489,110,44.826637
490,160,43.436605
491,51,39.846082
492,78,42.789802
493,55,42.931802
494,64,38.880236
495,68,44.376483
496,75,42.917387
497,73,42.944137
498,89,44.766553
499,77,42.952109
500,67,44.355341
501,66,40.236866
502,62,42.370537
503,110,41.251589
504,93,42.424389
505,65,43.719814
506,72,43.593601
507,59,42.837496
508,70,44.116476
509,72,43.083241
510,103,45.960533
511,121,42.096088
512,66,39.027356
513,89,42.45742
514,70,42.795698
515,115,41.925884
516,114,41.648084
517,66,38.782402
518,58,39.96082
519,78,43.763273
520,56,40.558008
521,56,41.727797
522,79,42.798918
523,84,44.839562
524,65,44.3414
525,68,42.668023
526,71,44.922708
527,68,43.218118
528,59,41.18831
529,63,43.737656
530,59,42.874177
531,83,42.809558
532,77,43.391316
533,74,43.113001
534,71,45.876563
535,73,40.766154
536,66,43.412659
537,59,42.368661
538,74,44.098343
539,62,42.466033
540,70,45.444034
541,72,42.976911
542,67,40.01376
543,66,43.261281
544,67,45.273617
545,73,42.872039
546,66,42.508283
547,74,42.142299
548,75,40.407913
549,82,44.407844
550,69,45.339926
551,59,42.440357
552,98,42.350816
553,80,45.109469
554,65,42.293946
555,75,44.608592
556,71,42.741672
557,77,45.54901
558,80,43.525919
559,74,41.659241
560,75,45.762256
561,76,46.055032
562,66,44.486191
563,70,44.124109
564,74,43.602111
565,64,45.258516
566,67,43.524613
567,80,41.661355
568,96,40.953636
569,75,44.542583
570,999,42.533063
571,75,44.245656
572,75,44.449333
573,80,43.061382
574,77,46.463379
575,64,44.126388
576,192,43.417181
577,75,44.413726
578,98,44.455567
579,77,44.293713
580,70,40.849596
581,74,46.247818
582,75,44.320196
583,98,45.187191
584,77,43.805361
585,72,43.883405
586,67,44.149147
587,88,45.612204
588,81,45.001525
589,102,44.533782
590,86,45.048349
591,68,45.308247
592,73,41.081156
593,71,45.508238
594,84,42.854783
595,69,41.509164
596,60,45.208038
597,91,43.142252
598,87,44.921618
599,97,43.641833
600,77,44.477736
601,75,44.152172
602,90,40.832625
603,70,42.673273
604,102,45.452286
605,70,45.440224
606,75,41.931264
607,60,41.587817
608,81,45.001012
609,86,43.315763
610,66,44.478758
611,67,44.33205
612,72,45.129719
613,102,45.54646
614,72,42.247762
615,71,42.803815
616,67,42.709133
617,64,45.076936
618,66,43.761796
619,76,44.492966
620,999,39.833753
621,75,44.072118
622,129,46.843263
623,76,45.303968
624,68,44.300977
625,73,43.337891
626,70,43.177023
627,66,41.557676
628,83,44.206419
629,71,42.635462
630,79,45.183586
631,72,45.211516
632,72,44.471033
633,70,44.832833
634,83,44.152859
635,73,45.512007
636,98,42.920282
637,78,44.294556
638,79,45.858082
639,73,46.532053
640,79,43.371357
641,80,41.298043
642,74,44.133538
643,79,44.657518
644,76,40.951197
645,134,43.935069
646,89,45.469677
647,87,47.327896
648,181,43.256428
649,115,46.465418
650,62,43.051574
651,88,45.82449
652,85,43.473917
653,95,46.575457
654,79,47.203843
655,69,45.438827
656,76,44.652846
657,75,41.645727
658,75,46.179949
659,83,45.330715
660,74,43.969215
661,85,47.347904
662,73,42.369314
663,95,42.57283
664,111,47.560108
665,91,43.7419
666,77,45.411805
667,78,46.964074
668,87,40.832639
669,66,43.671819
670,83,44.743189
671,83,44.810088
672,79,44.010421
673,77,46.809951
674,83,45.431027
675,88,45.280703
676,77,46.464741
677,116,46.819042
678,72,45.060903
679,80,45.159682
680,75,46.000935
681,101,48.069257
682,78,45.326902
683,205,42.56253
684,201,45.366588
685,88,46.69334
686,89,46.040173
687,84,46.546099
688,87,46.653259
689,90,46.018775
690,172,45.597702
691,98,48.109462
692,88,46.603876
693,76,44.910846
694,101,47.565986
695,84,43.926712
696,72,41.917184
697,103,47.650125
698,81,44.671266
699,70,44.721467
700,85,46.363113
701,77,48.01499
702,87,45.542454
703,83,43.669221
704,86,46.62611
705,90,46.125202
706,84,47.659749
707,206,46.657938
708,84,44.745208
709,103,43.581539
710,89,46.300481
711,79,43.167689
712,108,46.63264
713,83,44.879222
714,86,46.53359
715,68,44.798512
