episode,total_steps,return,steps,done_reason,fmax_last,buffer_size,cif_path
524,24226,-77.150396,45,bond,5219.004883,300000,"mofs/train_pool_valid/qmof-44fe25a.cif"
525,24235,-16.542474,9,bond,205.141907,300000,"mofs/train_pool_valid/qmof-80942aa.cif"
526,24253,-33.521529,18,bond,86.851135,300000,"mofs/train_pool_valid/qmof-9909f44.cif"
527,24274,-33.769470,21,bond,3486.772949,300000,"mofs/train_pool_valid/qmof-17c0863.cif"
528,24308,-59.936317,34,bond,2761.282227,300000,"mofs/train_pool_valid/qmof-ed04df4.cif"
529,24380,-104.924690,72,bond,684.220520,300000,"mofs/train_pool_valid/qmof-755b963.cif"
530,24415,-45.779720,35,bond,515.929932,300000,"mofs/train_pool_valid/qmof-dde499b.cif"
531,24442,-47.387975,27,bond,94.718994,300000,"mofs/train_pool_valid/qmof-7000e4d.cif"
532,24501,-93.265907,59,bond,129.402359,300000,"mofs/train_pool_valid/qmof-ecdafb4.cif"
533,24543,-57.012268,42,bond,436.637207,300000,"mofs/train_pool_valid/qmof-2ade4ad.cif"
534,24570,-44.328535,27,bond,177.613892,300000,"mofs/train_pool_valid/qmof-6b29f4f.cif"
535,24591,-30.238127,21,bond,202.162369,300000,"mofs/train_pool_valid/qmof-b4beb57.cif"
536,24615,-37.060219,24,bond,44.811352,300000,"mofs/train_pool_valid/qmof-6e6b22b.cif"
537,24638,-32.227790,23,bond,281.267700,300000,"mofs/train_pool_valid/qmof-ee6ba02.cif"
538,24679,-62.338119,41,bond,147.583893,300000,"mofs/train_pool_valid/qmof-905288f.cif"
539,24740,-64.867839,61,bond,2140.154785,300000,"mofs/train_pool_valid/qmof-7465794.cif"
540,24800,-87.610281,60,bond,10943.616211,300000,"mofs/train_pool_valid/qmof-8e42f2f.cif"
541,24828,-40.547446,28,bond,136.260132,300000,"mofs/train_pool_valid/qmof-f995bd9.cif"
542,24870,-60.135195,42,bond,271.181488,300000,"mofs/train_pool_valid/qmof-6915213.cif"
