step,energy,fmax,time
0,-712.25537109375,10.237383,0.4285085201263428
1,-713.0018310546875,9.790641,0.46187663078308105
2,-713.7398681640625,9.18256,0.4409492015838623
3,-714.3223876953125,8.813279,0.447509765625
4,-714.92578125,8.282761,0.46015429496765137
5,-715.471923828125,7.861336,0.4808940887451172
6,-715.8931884765625,7.690409,0.4632875919342041
7,-716.315185546875,7.311822,0.44649624824523926
8,-716.716796875,6.8318357,0.446713924407959
9,-717.039794921875,6.5057197,0.4639129638671875
10,-717.300048828125,6.1220193,0.45691394805908203
11,-717.5318603515625,5.8823743,0.45275115966796875
12,-717.7725830078125,5.5274034,0.46906113624572754
13,-717.972412109375,5.1450863,0.4609832763671875
14,-718.1427001953125,4.796128,0.46634769439697266
15,-718.2945556640625,4.461753,0.45308589935302734
16,-718.4345703125,4.1687684,0.4773886203765869
17,-718.5391845703125,3.9154136,0.430530309677124
18,-718.6452026367188,3.6551595,0.4610121250152588
19,-718.7406616210938,3.3335116,0.470778226852417
20,-718.8248291015625,3.1206598,0.4230072498321533
21,-718.89453125,2.852315,0.4596266746520996
22,-718.9523315429688,2.7235482,0.4558236598968506
23,-719.0043334960938,2.5628648,0.4559595584869385
24,-719.0499877929688,2.38013,0.459667444229126
25,-719.0907592773438,2.2001247,0.42086243629455566
26,-719.125244140625,2.03776,0.43584132194519043
27,-719.1563110351562,1.9016838,0.4347264766693115
28,-719.18603515625,1.6869667,0.4827139377593994
29,-719.2118530273438,1.5304848,0.45733213424682617
30,-719.233642578125,1.3789717,0.45316457748413086
31,-719.2534790039062,1.2660283,0.43123435974121094
32,-719.2720336914062,1.085304,0.4589669704437256
33,-719.2877807617188,0.942923,0.43900156021118164
34,-719.3019409179688,0.79916906,0.4673290252685547
35,-719.3143920898438,0.6746757,0.4611701965332031
36,-719.3258056640625,0.5786809,0.4353301525115967
37,-719.3364868164062,0.48710275,0.46076416969299316
38,-719.3455810546875,0.39524826,0.4590737819671631
39,-719.354248046875,0.2763817,0.4752542972564697
40,-719.3619384765625,0.25283498,0.4554314613342285
41,-719.3690185546875,0.23808162,0.47148728370666504
42,-719.3753051757812,0.22439829,0.47363710403442383
43,-719.3807983398438,0.2675832,0.4962010383605957
44,-719.3862915039062,0.18864232,0.4248921871185303
45,-719.3916015625,0.1873293,0.4271674156188965
46,-719.3963623046875,0.1852627,0.46510767936706543
47,-719.4008178710938,0.18399814,0.47128963470458984
48,-719.4049072265625,0.18304884,0.4381392002105713
49,-719.408935546875,0.1817017,0.47958898544311523
50,-719.41259765625,0.18006067,0.4396364688873291
51,-719.4161987304688,0.17843089,0.46866440773010254
52,-719.419189453125,0.1778073,0.4547417163848877
53,-719.4226684570312,0.17658275,0.45899081230163574
54,-719.42578125,0.17533125,0.4425938129425049
55,-719.4284057617188,0.17403533,0.469926118850708
