2025-11-24 15:38:20,078 - INFO - [MACS-MOF] Training start (EPOCHS=1500)
2025-11-24 15:38:20,078 - INFO - 
================================================================================
2025-11-24 15:38:20,078 - INFO - [EP 0] START
2025-11-24 15:38:20,078 - INFO - [EP 0] max_steps = 300
2025-11-24 15:38:20,694 - INFO - [EP 0] CIF loaded: mofs/train_pool_valid/qmof-14efc5e.cif
2025-11-24 15:38:20,694 - INFO - [INIT] OBS_DIM=360, ACT_DIM=3 (per-atom)
2025-11-24 15:38:20,702 - INFO - [INIT] Agent + ReplayBuffer allocated (per-atom).
2025-11-24 15:38:21,092 - INFO - [EP 0][STEP 0] N=116 | Favg=0.420648 Fmax=1.738315 rew_mean=-1.032952 | replay=104 | alpha=1.00000
2025-11-24 15:38:21,809 - INFO - [EP 0][STEP 1] N=116 | Favg=0.443942 Fmax=1.832642 rew_mean=-0.422600 | replay=209 | alpha=1.00000
2025-11-24 15:38:22,463 - INFO - [EP 0][STEP 2] N=116 | Favg=0.458467 Fmax=1.961496 rew_mean=-0.303073 | replay=316 | alpha=1.00000
2025-11-24 15:38:22,606 - INFO - [EP 0][STEP 3] N=116 | Favg=0.474465 Fmax=1.931245 rew_mean=-0.481004 | replay=419 | alpha=1.00000
2025-11-24 15:38:22,747 - INFO - [EP 0][STEP 4] N=116 | Favg=0.474876 Fmax=1.868285 rew_mean=-0.014729 | replay=519 | alpha=1.00000
2025-11-24 15:38:22,887 - INFO - [EP 0][STEP 5] N=116 | Favg=0.501557 Fmax=1.895656 rew_mean=-0.647334 | replay=620 | alpha=1.00000
2025-11-24 15:38:23,027 - INFO - [EP 0][STEP 6] N=116 | Favg=0.508457 Fmax=1.946824 rew_mean=-0.199110 | replay=723 | alpha=1.00000
2025-11-24 15:38:23,890 - INFO - [EP 0][STEP 7] N=116 | Favg=0.548179 Fmax=2.190696 rew_mean=-0.775972 | replay=820 | alpha=1.00000
2025-11-24 15:38:24,032 - INFO - [EP 0][STEP 8] N=116 | Favg=0.571135 Fmax=2.220789 rew_mean=-0.565598 | replay=920 | alpha=1.00000
2025-11-24 15:38:24,174 - INFO - [EP 0][STEP 9] N=116 | Favg=0.592542 Fmax=2.216100 rew_mean=-0.468627 | replay=1,023 | alpha=1.00000
2025-11-24 15:38:24,314 - INFO - [EP 0][STEP 10] N=116 | Favg=0.643378 Fmax=2.290869 rew_mean=-0.698759 | replay=1,124 | alpha=1.00000
2025-11-24 15:38:24,455 - INFO - [EP 0][STEP 11] N=116 | Favg=0.670287 Fmax=2.445865 rew_mean=-0.494833 | replay=1,225 | alpha=1.00000
2025-11-24 15:38:24,595 - INFO - [EP 0][STEP 12] N=116 | Favg=0.698388 Fmax=2.459370 rew_mean=-0.129963 | replay=1,321 | alpha=1.00000
2025-11-24 15:38:24,736 - INFO - [EP 0][STEP 13] N=116 | Favg=0.713644 Fmax=2.655885 rew_mean=-0.245912 | replay=1,424 | alpha=1.00000
2025-11-24 15:38:24,876 - INFO - [EP 0][STEP 14] N=116 | Favg=0.725902 Fmax=2.457764 rew_mean=-0.284706 | replay=1,523 | alpha=1.00000
2025-11-24 15:38:25,016 - INFO - [EP 0][STEP 15] N=116 | Favg=0.761817 Fmax=2.630099 rew_mean=-0.558527 | replay=1,634 | alpha=1.00000
2025-11-24 15:38:25,157 - INFO - [EP 0][STEP 16] N=116 | Favg=0.801434 Fmax=2.619325 rew_mean=-0.379765 | replay=1,738 | alpha=1.00000
2025-11-24 15:38:25,297 - INFO - [EP 0][STEP 17] N=116 | Favg=0.815050 Fmax=2.467319 rew_mean=-0.398215 | replay=1,839 | alpha=1.00000
2025-11-24 15:38:25,437 - INFO - [EP 0][STEP 18] N=116 | Favg=0.849040 Fmax=2.589393 rew_mean=-0.456747 | replay=1,937 | alpha=1.00000
