step,energy,fmax,time
0,-774.0435180664062,0.88021535,0.473238468170166
1,-774.077392578125,0.85821605,0.4713423252105713
2,-774.1022338867188,0.8379117,0.4566645622253418
3,-774.1246337890625,0.8227224,0.4830813407897949
4,-774.1463012695312,0.79711765,0.44689226150512695
5,-774.166259765625,0.7736559,0.4836866855621338
6,-774.1865844726562,0.75202405,0.456207275390625
7,-774.2037963867188,0.7270445,0.4856302738189697
8,-774.2203369140625,0.70472693,0.4503912925720215
9,-774.236083984375,0.6844172,0.5032832622528076
10,-774.2496948242188,0.6695792,0.482532262802124
11,-774.2642211914062,0.64398843,0.5051975250244141
12,-774.276611328125,0.6259223,0.48642921447753906
13,-774.2894287109375,0.6084141,0.4572570323944092
14,-774.3003540039062,0.58514404,0.4874427318572998
15,-774.3128051757812,0.567128,0.45384979248046875
16,-774.3231201171875,0.55749124,0.4667975902557373
17,-774.33203125,0.5417399,0.4579627513885498
18,-774.3412475585938,0.5298435,0.4702179431915283
19,-774.3502807617188,0.5126021,0.486922025680542
