episode,step,return
0,299,-6.145458
0,21,40.308376
1,43,38.997594
1,42,37.663288
2,263,16.066689
2,26,39.56342
3,303,-3.598913
3,31,39.819528
4,44,38.363804
4,30,40.4971
5,173,28.167244
5,306,-1.552974
6,25,39.464546
7,35,40.562775
8,148,31.855543
9,30,36.979423
10,24,41.389262
11,70,38.45592
12,68,36.965521
13,85,32.117689
14,318,-2.715668
15,320,-2.676979
16,321,-0.125748
17,31,41.946907
341,56,47.508248
342,80,47.621273
343,75,44.767844
344,104,40.586133
345,55,45.561883
346,63,46.59829
347,53,48.340495
348,69,45.803758
349,67,44.893215
350,136,42.40954
351,62,46.52941
352,116,40.85008
353,63,46.614533
354,54,45.687837
355,92,44.319763
356,58,45.283025
357,106,42.232195
358,52,46.209668
359,62,45.433372
360,234,35.129477
361,257,33.037073
362,144,40.775338
363,218,34.084562
364,94,41.426924
365,83,45.018436
366,75,45.251553
367,86,42.195299
368,814,-21.138624
369,64,45.602014
370,64,45.692198
371,120,43.958317
372,81,43.210867
373,68,45.600719
374,53,47.35829
375,99,40.873257
376,69,46.08401
377,56,43.99016
378,69,45.560915
379,62,46.326206
380,71,43.109206
381,68,47.428442
382,111,43.232476
383,434,26.470789
384,58,44.601513
385,79,43.854277
386,62,44.850809
387,60,47.963392
388,50,46.869648
389,69,48.173272
390,131,42.350526
391,139,41.785047
392,64,45.937066
393,65,47.205248
394,72,47.950305
395,120,46.736194
396,124,44.236503
397,73,47.101649
398,58,48.672274
399,66,46.072848
400,76,44.897087
401,59,44.901143
402,69,45.685926
403,93,42.169853
404,67,47.815676
405,67,46.44622
406,70,46.906774
407,94,43.822104
408,72,46.531557
409,68,48.317683
410,64,48.147714
411,58,45.619674
412,78,47.692453
413,74,46.482899
414,75,46.751962
415,73,45.373024
416,58,48.557471
417,63,45.977219
418,72,47.851464
419,85,47.268927
420,75,45.554843
421,75,47.177334
422,63,46.975691
423,81,45.309706
424,63,47.816688
425,85,46.049445
426,82,47.859327
427,98,46.743894
428,76,44.349432
429,77,45.694319
430,95,44.443622
431,82,45.928443
432,64,45.497987
433,64,48.105385
434,63,47.827527
435,76,46.518149
436,273,36.364914
437,94,45.627505
438,129,43.377425
439,100,44.926276
440,73,46.612167
441,916,-22.05803
442,100,47.178777
443,76,47.661273
444,63,48.164932
445,71,45.079389
446,133,40.666908
447,79,46.578731
448,55,46.094671
449,150,44.758056
450,76,45.213687
451,60,45.344661
452,73,46.26353
453,84,45.82538
454,62,47.167006
455,70,42.4867
456,73,47.01096
457,120,42.45571
458,74,48.743328
459,80,42.952077
460,943,-23.961649
461,69,48.063535
462,76,44.361998
463,87,44.809065
464,59,46.757879
465,71,43.938111
466,95,46.062337
467,85,47.849393
468,76,46.294412
469,75,48.517642
470,68,47.743265
471,97,46.313833
472,77,47.738677
473,81,46.823719
474,67,47.740651
475,70,48.867472
476,100,46.955409
477,97,47.021409
478,77,48.020302
479,70,49.089005
480,971,-31.359923
481,87,46.93225
482,65,45.914027
483,123,46.185257
484,69,47.807192
485,136,41.469339
486,99,46.155059
487,68,45.47739
488,76,47.342082
489,77,45.206079
490,121,46.287786
491,88,47.189712
492,81,47.492449
493,88,47.108856
494,67,47.342659
495,101,43.079914
496,87,48.298466
497,349,29.415836
498,94,49.288191
499,104,48.666616
500,89,47.758078
501,99,47.423808
502,81,47.018956
503,70,47.494752
504,84,48.25248
505,87,46.777955
506,72,47.105716
507,72,46.105379
508,72,44.985599
509,91,46.838139
510,95,47.179042
511,83,48.169462
512,80,46.733447
513,86,43.983118
514,999,-26.673577
515,96,46.543013
516,83,48.673169
517,87,48.464174
518,310,35.114015
519,82,49.932461
520,128,46.719089
521,71,48.473326
522,108,45.261161
523,999,-26.962307
524,84,46.432195
525,113,45.353752
526,113,45.326573
527,79,49.028983
528,89,48.791781
529,166,42.695537
530,127,46.358108
531,73,48.459018
