2025-11-24 20:43:17,146 - INFO - [MACS-MOF] Training start (EPOCHS=1500)
2025-11-24 20:43:17,146 - INFO - 
================================================================================
2025-11-24 20:43:17,146 - INFO - [EP 0] START
2025-11-24 20:43:17,146 - INFO - [EP 0] max_steps = 300
2025-11-24 20:43:17,742 - INFO - [EP 0] CIF loaded: mofs/train_pool_valid/qmof-b6cf5f9.cif
2025-11-24 20:43:17,742 - INFO - [INIT] OBS_DIM=360, ACT_DIM=3 (per-atom)
2025-11-24 20:43:17,772 - INFO - [INIT] Agent + ReplayBuffer allocated (per-atom).
2025-11-24 20:43:18,160 - INFO - [EP 0][STEP 0] N=100 | Favg=0.235334 Fmax=0.785216 rew_mean=-2.054009 | ep_buf=100 | alpha=1.00000
2025-11-24 20:43:18,868 - INFO - [EP 0][STEP 1] N=100 | Favg=0.298236 Fmax=0.843937 rew_mean=-2.881208 | ep_buf=200 | alpha=1.00000
2025-11-24 20:43:19,008 - INFO - [EP 0][STEP 2] N=100 | Favg=0.340535 Fmax=0.976927 rew_mean=-1.469966 | ep_buf=300 | alpha=1.00000
2025-11-24 20:43:19,655 - INFO - [EP 0][STEP 3] N=100 | Favg=0.355846 Fmax=1.042101 rew_mean=-0.771911 | ep_buf=400 | alpha=1.00000
2025-11-24 20:43:20,508 - INFO - [EP 0][STEP 4] N=100 | Favg=0.363031 Fmax=0.996806 rew_mean=-0.246610 | ep_buf=500 | alpha=1.00000
2025-11-24 20:43:20,648 - INFO - [EP 0][STEP 5] N=100 | Favg=0.380266 Fmax=1.141565 rew_mean=-0.369379 | ep_buf=600 | alpha=1.00000
2025-11-24 20:43:20,787 - INFO - [EP 0][STEP 6] N=100 | Favg=0.414813 Fmax=1.348639 rew_mean=-0.607763 | ep_buf=700 | alpha=1.00000
2025-11-24 20:43:20,926 - INFO - [EP 0][STEP 7] N=100 | Favg=0.443165 Fmax=1.344818 rew_mean=-0.555164 | ep_buf=800 | alpha=1.00000
2025-11-24 20:43:21,065 - INFO - [EP 0][STEP 8] N=100 | Favg=0.440585 Fmax=1.511086 rew_mean=0.298175 | ep_buf=900 | alpha=1.00000
2025-11-24 20:43:21,206 - INFO - [EP 0][STEP 9] N=100 | Favg=0.464556 Fmax=1.685939 rew_mean=-0.579920 | ep_buf=1,000 | alpha=1.00000
2025-11-24 20:43:21,345 - INFO - [EP 0][STEP 10] N=100 | Favg=0.499103 Fmax=1.769275 rew_mean=-0.731517 | ep_buf=1,100 | alpha=1.00000
2025-11-24 20:43:21,484 - INFO - [EP 0][STEP 11] N=100 | Favg=0.516129 Fmax=1.760625 rew_mean=-0.669541 | ep_buf=1,200 | alpha=1.00000
2025-11-24 20:43:21,623 - INFO - [EP 0][STEP 12] N=100 | Favg=0.509775 Fmax=1.850703 rew_mean=0.010179 | ep_buf=1,300 | alpha=1.00000
2025-11-24 20:43:21,762 - INFO - [EP 0][STEP 13] N=100 | Favg=0.530273 Fmax=1.848350 rew_mean=-0.425141 | ep_buf=1,400 | alpha=1.00000
2025-11-24 20:43:21,900 - INFO - [EP 0][STEP 14] N=100 | Favg=0.546973 Fmax=1.796539 rew_mean=-0.211064 | ep_buf=1,500 | alpha=1.00000
2025-11-24 20:43:22,040 - INFO - [EP 0][STEP 15] N=100 | Favg=0.549812 Fmax=1.836391 rew_mean=0.013236 | ep_buf=1,600 | alpha=1.00000
2025-11-24 20:43:22,180 - INFO - [EP 0][STEP 16] N=100 | Favg=0.545866 Fmax=1.954810 rew_mean=0.113681 | ep_buf=1,700 | alpha=1.00000
2025-11-24 20:43:22,318 - INFO - [EP 0][STEP 17] N=100 | Favg=0.565826 Fmax=2.058001 rew_mean=-0.134756 | ep_buf=1,800 | alpha=1.00000
2025-11-24 20:43:22,457 - INFO - [EP 0][STEP 18] N=100 | Favg=0.591715 Fmax=2.058590 rew_mean=-0.968484 | ep_buf=1,900 | alpha=1.00000
2025-11-24 20:43:22,595 - INFO - [EP 0][STEP 19] N=100 | Favg=0.598435 Fmax=2.080119 rew_mean=-0.045299 | ep_buf=2,000 | alpha=1.00000
2025-11-24 20:43:22,734 - INFO - [EP 0][STEP 20] N=100 | Favg=0.602739 Fmax=1.977677 rew_mean=-0.112244 | ep_buf=2,100 | alpha=1.00000
2025-11-24 20:43:22,873 - INFO - [EP 0][STEP 21] N=100 | Favg=0.599230 Fmax=1.977731 rew_mean=-0.021300 | ep_buf=2,200 | alpha=1.00000
2025-11-24 20:43:23,012 - INFO - [EP 0][STEP 22] N=100 | Favg=0.602138 Fmax=1.847559 rew_mean=-0.197785 | ep_buf=2,300 | alpha=1.00000
2025-11-24 20:43:23,150 - INFO - [EP 0][STEP 23] N=100 | Favg=0.603425 Fmax=2.003160 rew_mean=0.077587 | ep_buf=2,400 | alpha=1.00000
2025-11-24 20:43:23,289 - INFO - [EP 0][STEP 24] N=100 | Favg=0.601855 Fmax=2.024617 rew_mean=0.216480 | ep_buf=2,500 | alpha=1.00000
2025-11-24 20:43:23,427 - INFO - [EP 0][STEP 25] N=100 | Favg=0.620117 Fmax=1.910796 rew_mean=-0.271191 | ep_buf=2,600 | alpha=1.00000
2025-11-24 20:43:23,566 - INFO - [EP 0][STEP 26] N=100 | Favg=0.660058 Fmax=2.131851 rew_mean=-0.570906 | ep_buf=2,700 | alpha=1.00000
2025-11-24 20:43:23,705 - INFO - [EP 0][STEP 27] N=100 | Favg=0.679568 Fmax=2.272343 rew_mean=-0.415874 | ep_buf=2,800 | alpha=1.00000
2025-11-24 20:43:23,843 - INFO - [EP 0][STEP 28] N=100 | Favg=0.685300 Fmax=1.980096 rew_mean=-0.145508 | ep_buf=2,900 | alpha=1.00000
2025-11-24 20:43:23,982 - INFO - [EP 0][STEP 29] N=100 | Favg=0.691658 Fmax=2.077420 rew_mean=-0.162382 | ep_buf=3,000 | alpha=1.00000
2025-11-24 20:43:24,121 - INFO - [EP 0][STEP 30] N=100 | Favg=0.708781 Fmax=2.284658 rew_mean=-0.093121 | ep_buf=3,100 | alpha=1.00000
2025-11-24 20:43:24,259 - INFO - [EP 0][STEP 31] N=100 | Favg=0.700468 Fmax=2.240613 rew_mean=-0.030262 | ep_buf=3,200 | alpha=1.00000
2025-11-24 20:43:24,398 - INFO - [EP 0][STEP 32] N=100 | Favg=0.710188 Fmax=2.188834 rew_mean=0.046121 | ep_buf=3,300 | alpha=1.00000
2025-11-24 20:43:24,537 - INFO - [EP 0][STEP 33] N=100 | Favg=0.726208 Fmax=2.212898 rew_mean=-0.311500 | ep_buf=3,400 | alpha=1.00000
2025-11-24 20:43:24,676 - INFO - [EP 0][STEP 34] N=100 | Favg=0.739399 Fmax=2.372854 rew_mean=-0.212198 | ep_buf=3,500 | alpha=1.00000
2025-11-24 20:43:24,815 - INFO - [EP 0][STEP 35] N=100 | Favg=0.768417 Fmax=2.393071 rew_mean=-0.512309 | ep_buf=3,600 | alpha=1.00000
2025-11-24 20:43:24,954 - INFO - [EP 0][STEP 36] N=100 | Favg=0.780489 Fmax=2.419975 rew_mean=-0.221242 | ep_buf=3,700 | alpha=1.00000
2025-11-24 20:43:25,093 - INFO - [EP 0][STEP 37] N=100 | Favg=0.780341 Fmax=2.465711 rew_mean=0.169191 | ep_buf=3,800 | alpha=1.00000
2025-11-24 20:43:25,232 - INFO - [EP 0][STEP 38] N=100 | Favg=0.773647 Fmax=2.355328 rew_mean=-0.025020 | ep_buf=3,900 | alpha=1.00000
